subgroup,modeldate,startdate,enddate,pollster,samplesize,approve,disapprove
All polls,01/01/2020,08/03/2017,08/05/2017,Gallup,1500,38,56
All polls,01/01/2020,08/03/2017,08/06/2017,CNN/SSRS,1018,38,56
All polls,01/01/2020,08/03/2017,08/06/2017,Morning Consult,1992,40,55
All polls,01/01/2020,08/03/2017,08/07/2017,Rasmussen Reports/Pulse Opinion Research,1500,41,57
All polls,01/01/2020,08/04/2017,08/06/2017,Gallup,1500,38,57
All polls,01/01/2020,08/03/2017,08/06/2017,CBS News,1111,36,58
All polls,01/01/2020,08/03/2017,08/07/2017,Ipsos,1605,36.4,59.9
All polls,01/01/2020,08/05/2017,08/07/2017,Gallup,1500,37,59
All polls,01/01/2020,08/04/2017,08/08/2017,Ipsos,1674,37.3,58.9
All polls,01/01/2020,08/04/2017,08/07/2017,Zogby Analytics,1300,44.5,50.6
All polls,01/01/2020,08/03/2017,08/09/2017,icitizen,1306,32,67
All polls,01/01/2020,08/06/2017,08/08/2017,YouGov,1500,37,53
All polls,01/01/2020,08/05/2017,08/09/2017,NBC News/Wall Street Journal,1200,40,55
All polls,01/01/2020,08/04/2017,08/10/2017,SurveyMonkey,14103,41,57
All polls,01/01/2020,08/06/2017,08/08/2017,Rasmussen Reports/Pulse Opinion Research,1500,42,56
All polls,01/01/2020,08/05/2017,08/09/2017,Ipsos,1707,36.3,59.2
All polls,01/01/2020,08/06/2017,08/08/2017,Gallup,1500,36,58
All polls,01/01/2020,08/06/2017,08/10/2017,Ipsos,1732,37.9,56.6
All polls,01/01/2020,08/07/2017,08/09/2017,Gallup,1500,36,57
All polls,01/01/2020,08/07/2017,08/09/2017,Rasmussen Reports/Pulse Opinion Research,1500,44,54
All polls,01/01/2020,08/08/2017,08/10/2017,Rasmussen Reports/Pulse Opinion Research,1500,45,53
All polls,01/01/2020,08/07/2017,08/11/2017,Ipsos,1768,38.9,55.2
All polls,01/01/2020,08/08/2017,08/10/2017,Gallup,1500,37,56
All polls,01/01/2020,08/08/2017,08/12/2017,Marist College,1009,35,55
All polls,01/01/2020,08/08/2017,08/12/2017,Ipsos,1690,37.3,56.6
All polls,01/01/2020,08/09/2017,08/11/2017,Gallup,1500,37,57
All polls,01/01/2020,08/09/2017,08/10/2017,Public Policy Polling,948,40,53
All polls,01/01/2020,08/10/2017,08/12/2017,Gallup,1500,36,59
All polls,01/01/2020,08/09/2017,8/13/2017,Ipsos,1631,36.3,56.6
All polls,01/01/2020,08/09/2017,8/13/2017,Rasmussen Reports/Pulse Opinion Research,1500,43,55
All polls,01/01/2020,08/11/2017,8/13/2017,Gallup,1500,34,61
All polls,01/01/2020,08/10/2017,8/14/2017,Morning Consult,2201,43,51
All polls,01/01/2020,08/10/2017,8/14/2017,Monmouth University,805,41,49
All polls,01/01/2020,08/10/2017,8/14/2017,Rasmussen Reports/Pulse Opinion Research,1500,42,57
All polls,01/01/2020,08/09/2017,8/15/2017,Quinnipiac University,1361,39,57
All polls,01/01/2020,08/10/2017,8/14/2017,Ipsos,1606,36,56.6
All polls,01/01/2020,08/12/2017,8/14/2017,Gallup,1500,36,59
All polls,01/01/2020,08/11/2017,8/15/2017,Ipsos,1590,35.5,57.5
All polls,01/01/2020,08/12/2017,8/16/2017,Ipsos,2020,33.8,59.6
All polls,01/01/2020,8/13/2017,8/15/2017,YouGov,1500,39,51
All polls,01/01/2020,8/13/2017,8/15/2017,Gallup,1500,36,58
All polls,01/01/2020,8/13/2017,8/15/2017,Rasmussen Reports/Pulse Opinion Research,1500,40,58
All polls,01/01/2020,08/11/2017,8/17/2017,SurveyMonkey,14805,40,58
All polls,01/01/2020,8/14/2017,8/15/2017,YouGov,1000,34,58
All polls,01/01/2020,8/14/2017,8/16/2017,Rasmussen Reports/Pulse Opinion Research,1500,40,59
All polls,01/01/2020,8/13/2017,8/17/2017,Ipsos,2342,34.6,58.9
All polls,01/01/2020,8/14/2017,8/15/2017,Marist College,1125,35,51
All polls,01/01/2020,8/14/2017,8/16/2017,Gallup,1500,37,57
All polls,01/01/2020,8/13/2017,8/17/2017,George Washington University/Battleground,1000,42,55
All polls,01/01/2020,08/08/2017,8/21/2017,Pew Research Center,4791,36,63
All polls,01/01/2020,8/14/2017,8/18/2017,Ipsos,2753,34.9,59.2
All polls,01/01/2020,8/15/2017,8/17/2017,Gallup,1500,38,57
All polls,01/01/2020,8/15/2017,8/17/2017,Rasmussen Reports/Pulse Opinion Research,1500,42,57
All polls,01/01/2020,8/15/2017,8/19/2017,Ipsos,3143,35.9,58.5
All polls,01/01/2020,8/16/2017,8/18/2017,Gallup,1500,37,57
All polls,01/01/2020,8/16/2017,8/17/2017,Opinion Savvy,763,43,55
All polls,01/01/2020,8/16/2017,8/20/2017,Ipsos,3447,35.7,59.1
All polls,01/01/2020,8/17/2017,8/19/2017,Gallup,1500,36,58
All polls,01/01/2020,8/16/2017,8/20/2017,ABC News/Washington Post,1014,37,58
All polls,01/01/2020,8/17/2017,8/19/2017,Morning Consult,2200,38,56
All polls,01/01/2020,8/16/2017,8/20/2017,Rasmussen Reports/Pulse Opinion Research,1500,42,57
All polls,01/01/2020,8/18/2017,8/19/2017,YouGov,1000,34,57
All polls,01/01/2020,8/18/2017,8/20/2017,Gallup,1500,35,59
All polls,01/01/2020,8/17/2017,8/20/2017,American Research Group,1100,33,62
All polls,01/01/2020,8/17/2017,8/21/2017,Ipsos,3032,35.9,59
All polls,01/01/2020,8/17/2017,8/21/2017,AP-NORC,1038,36,63
All polls,01/01/2020,8/17/2017,8/21/2017,Rasmussen Reports/Pulse Opinion Research,1500,43,56
All polls,01/01/2020,8/18/2017,8/22/2017,Ipsos,2749,35.8,59.3
All polls,01/01/2020,8/19/2017,8/21/2017,Gallup,1500,35,60
All polls,01/01/2020,8/17/2017,8/22/2017,Harris Poll,2263,43,57
All polls,01/01/2020,8/17/2017,8/22/2017,Quinnipiac University,1514,35,59
All polls,01/01/2020,8/17/2017,8/23/2017,icitizen,851,31,68
All polls,01/01/2020,8/18/2017,8/21/2017,Public Policy Polling,887,40,53
All polls,01/01/2020,8/20/2017,8/22/2017,Gallup,1500,35,59
All polls,01/01/2020,8/18/2017,8/24/2017,SurveyMonkey,9172,39,59
All polls,01/01/2020,8/20/2017,8/22/2017,YouGov,1500,39,51
All polls,01/01/2020,8/20/2017,8/22/2017,Rasmussen Reports/Pulse Opinion Research,1500,41,57
All polls,01/01/2020,8/19/2017,8/23/2017,Ipsos,2419,35.9,59.2
All polls,01/01/2020,8/20/2017,8/24/2017,Ipsos,2086,35.5,59.6
All polls,01/01/2020,8/21/2017,8/23/2017,Gallup,1500,34,60
All polls,01/01/2020,8/21/2017,8/23/2017,Rasmussen Reports/Pulse Opinion Research,1500,42,56
All polls,01/01/2020,8/21/2017,8/25/2017,Ipsos,1918,35.4,59
All polls,01/01/2020,8/22/2017,8/24/2017,Gallup,1500,34,60
All polls,01/01/2020,8/22/2017,8/24/2017,Rasmussen Reports/Pulse Opinion Research,1500,42,56
All polls,01/01/2020,8/22/2017,8/26/2017,Ipsos,1596,36.1,58.4
All polls,01/01/2020,8/23/2017,8/25/2017,Gallup,1500,35,60
All polls,01/01/2020,8/23/2017,8/27/2017,Ipsos,1261,36,58.3
All polls,01/01/2020,8/24/2017,8/26/2017,Morning Consult,2200,39,54
All polls,01/01/2020,8/23/2017,8/27/2017,Rasmussen Reports/Pulse Opinion Research,1500,42,57
All polls,01/01/2020,8/24/2017,8/26/2017,Gallup,1500,35,60
All polls,01/01/2020,8/24/2017,8/28/2017,Ipsos,1795,36.6,58
All polls,01/01/2020,8/24/2017,8/28/2017,Morning Consult,1999,40,55
All polls,01/01/2020,8/25/2017,8/27/2017,Gallup,1500,35,60
All polls,01/01/2020,8/24/2017,8/28/2017,McLaughlin & Associates,1000,48,50
All polls,01/01/2020,8/24/2017,8/28/2017,Rasmussen Reports/Pulse Opinion Research,1500,41,58
All polls,01/01/2020,8/23/2017,8/31/2017,IBD/TIPP,905,38,57
All polls,01/01/2020,8/25/2017,8/29/2017,Ipsos,1768,36.7,58.2
All polls,01/01/2020,8/24/2017,8/29/2017,SurveyMonkey,10129,39,59
All polls,01/01/2020,8/24/2017,8/30/2017,icitizen,2049,36,64
All polls,01/01/2020,8/26/2017,8/28/2017,Gallup,1500,35,60
All polls,01/01/2020,8/26/2017,8/30/2017,Ipsos,1667,37.6,58.4
All polls,01/01/2020,8/27/2017,8/29/2017,Fox News,1006,41,55
All polls,01/01/2020,8/27/2017,8/29/2017,Gallup,1500,35,59
All polls,01/01/2020,8/25/2017,8/31/2017,SurveyMonkey,12032,40,59
All polls,01/01/2020,8/27/2017,8/29/2017,YouGov,1500,38,53
All polls,01/01/2020,8/27/2017,8/29/2017,Rasmussen Reports/Pulse Opinion Research,1500,41,58
All polls,01/01/2020,8/28/2017,8/30/2017,Rasmussen Reports/Pulse Opinion Research,1500,41,58
All polls,01/01/2020,8/28/2017,8/30/2017,Gallup,1500,34,60
All polls,01/01/2020,8/27/2017,8/31/2017,Ipsos,2060,38.1,57.8
All polls,01/01/2020,8/29/2017,8/31/2017,Rasmussen Reports/Pulse Opinion Research,1500,42,56
All polls,01/01/2020,8/29/2017,8/31/2017,Gallup,1500,34,61
All polls,01/01/2020,8/28/2017,09/01/2017,Ipsos,2383,37.9,58
All polls,01/01/2020,8/29/2017,09/02/2017,Ipsos,1832,37.6,58.6
All polls,01/01/2020,8/30/2017,09/01/2017,Gallup,1500,34,61
All polls,01/01/2020,8/24/2017,09/08/2017,Morning Consult,4402,43,50
All polls,01/01/2020,8/31/2017,09/02/2017,Gallup,1500,36,58
All polls,01/01/2020,8/30/2017,09/03/2017,Rasmussen Reports/Pulse Opinion Research,1500,43,55
All polls,01/01/2020,8/30/2017,09/03/2017,Ipsos,1734,38.2,58.6
All polls,01/01/2020,09/01/2017,09/03/2017,Gallup,1500,38,56
All polls,01/01/2020,8/31/2017,09/03/2017,Morning Consult,1993,43,52
All polls,01/01/2020,8/31/2017,09/04/2017,Rasmussen Reports/Pulse Opinion Research,1500,44,54
All polls,01/01/2020,8/31/2017,09/04/2017,Ipsos,1746,39.1,57.5
All polls,01/01/2020,8/31/2017,09/06/2017,icitizen,2806,41,59
All polls,01/01/2020,09/01/2017,09/05/2017,Ipsos,1674,39.7,56.4
All polls,01/01/2020,09/02/2017,09/04/2017,Gallup,1500,37,56
All polls,01/01/2020,09/03/2017,09/05/2017,YouGov,1500,41,52
All polls,01/01/2020,09/02/2017,09/06/2017,Ipsos,1686,41,54.7
All polls,01/01/2020,09/03/2017,09/05/2017,Rasmussen Reports/Pulse Opinion Research,1500,45,53
All polls,01/01/2020,09/01/2017,09/07/2017,SurveyMonkey,12032,40,57
All polls,01/01/2020,09/03/2017,09/05/2017,Gallup,1500,37,56
All polls,01/01/2020,09/04/2017,09/06/2017,Rasmussen Reports/Pulse Opinion Research,1500,45,54
All polls,01/01/2020,09/04/2017,09/06/2017,Gallup,1500,36,57
All polls,01/01/2020,09/03/2017,09/07/2017,Ipsos,1658,40.9,54.8
All polls,01/01/2020,09/04/2017,09/08/2017,Ipsos,1723,39.6,55.8
All polls,01/01/2020,09/05/2017,09/07/2017,Rasmussen Reports/Pulse Opinion Research,1500,46,53
All polls,01/01/2020,09/05/2017,09/07/2017,Gallup,1500,36,57
All polls,01/01/2020,09/06/2017,09/08/2017,Gallup,1500,38,56
All polls,01/01/2020,09/05/2017,09/09/2017,Ipsos,1696,38.7,55.5
All polls,01/01/2020,09/06/2017,09/09/2017,YouGov,2271,39,51
All polls,01/01/2020,09/06/2017,09/10/2017,Rasmussen Reports/Pulse Opinion Research,1500,44,55
All polls,01/01/2020,09/06/2017,09/10/2017,Ipsos,1673,36.7,56.9
All polls,01/01/2020,09/07/2017,09/09/2017,Gallup,1500,38,56
All polls,01/01/2020,09/07/2017,09/09/2017,Zogby Analytics,834,43,53
All polls,01/01/2020,09/07/2017,09/11/2017,Ipsos,1679,35.3,58.1
All polls,01/01/2020,09/08/2017,09/10/2017,Gallup,1500,38,57
All polls,01/01/2020,09/07/2017,09/11/2017,Rasmussen Reports/Pulse Opinion Research,1500,44,54
All polls,01/01/2020,09/07/2017,09/11/2017,icitizen,1933,43,56
All polls,01/01/2020,09/07/2017,09/11/2017,Morning Consult,1976,42,50
All polls,01/01/2020,09/08/2017,09/12/2017,Ipsos,1671,34.7,58.6
All polls,01/01/2020,09/09/2017,09/11/2017,Gallup,1500,37,58
All polls,01/01/2020,09/10/2017,09/12/2017,Gallup,1500,37,57
All polls,01/01/2020,09/10/2017,09/12/2017,YouGov,1500,39,52
All polls,01/01/2020,09/10/2017,09/12/2017,Rasmussen Reports/Pulse Opinion Research,1500,42,56
All polls,01/01/2020,09/08/2017,9/14/2017,SurveyMonkey,16343,43,55
All polls,01/01/2020,09/09/2017,9/13/2017,Ipsos,1703,35.3,58.3
All polls,01/01/2020,09/11/2017,9/13/2017,Gallup,1500,37,56
All polls,01/01/2020,09/11/2017,9/13/2017,Rasmussen Reports/Pulse Opinion Research,1500,44,54
All polls,01/01/2020,09/11/2017,09/12/2017,Lucid,1592,34.5,50.65
All polls,01/01/2020,09/10/2017,9/14/2017,Ipsos,1699,36.8,57.5
All polls,01/01/2020,09/11/2017,9/13/2017,Marist College,1224,39,50
All polls,01/01/2020,09/12/2017,9/14/2017,YouGov,1000,40,51
All polls,01/01/2020,09/11/2017,9/15/2017,Ipsos,1615,38.4,56.3
All polls,01/01/2020,09/12/2017,9/14/2017,Rasmussen Reports/Pulse Opinion Research,1500,43,55
All polls,01/01/2020,09/10/2017,9/16/2017,Saint Leo University,1000,42.8,53.2
All polls,01/01/2020,09/12/2017,9/14/2017,Morning Consult,2094,41,51
All polls,01/01/2020,09/12/2017,9/14/2017,Gallup,1500,37,57
All polls,01/01/2020,09/12/2017,9/15/2017,Morning Consult,2201,42,51
All polls,01/01/2020,09/12/2017,9/16/2017,Ipsos,1610,39.5,54.9
All polls,01/01/2020,9/13/2017,9/15/2017,Gallup,1500,36,59
All polls,01/01/2020,9/13/2017,9/17/2017,Ipsos,1585,39.4,54.9
All polls,01/01/2020,9/14/2017,9/16/2017,Gallup,1500,38,57
All polls,01/01/2020,9/13/2017,9/17/2017,Rasmussen Reports/Pulse Opinion Research,1500,44,55
All polls,01/01/2020,9/14/2017,9/18/2017,Ipsos,1560,37.5,56.5
All polls,01/01/2020,9/14/2017,9/18/2017,Rasmussen Reports/Pulse Opinion Research,1500,43,55
All polls,01/01/2020,9/14/2017,9/18/2017,NBC News/Wall Street Journal,900,43,52
All polls,01/01/2020,9/15/2017,9/17/2017,Gallup,1500,38,56
All polls,01/01/2020,9/14/2017,9/17/2017,Morning Consult,2203,42,51
All polls,01/01/2020,9/13/2017,9/18/2017,Kaiser Family Foundation,1179,38,57
All polls,01/01/2020,9/16/2017,9/18/2017,Gallup,1500,38,55
All polls,01/01/2020,9/15/2017,9/19/2017,Monmouth University,1009,40,49
All polls,01/01/2020,9/14/2017,9/20/2017,icitizen,2000,42,57
All polls,01/01/2020,9/15/2017,9/19/2017,Ipsos,1557,39,54.8
All polls,01/01/2020,9/15/2017,9/21/2017,SurveyMonkey,9061,45,53
All polls,01/01/2020,9/17/2017,9/19/2017,YouGov,1500,39,49
All polls,01/01/2020,9/16/2017,9/20/2017,Ipsos,1626,38.2,55.9
All polls,01/01/2020,9/17/2017,9/19/2017,Gallup,1500,39,55
All polls,01/01/2020,9/17/2017,9/19/2017,Rasmussen Reports/Pulse Opinion Research,1500,42,56
All polls,01/01/2020,9/17/2017,9/21/2017,Ipsos,1625,38.3,56.4
All polls,01/01/2020,9/17/2017,9/20/2017,Harris Poll,2177,45,55
All polls,01/01/2020,9/18/2017,9/20/2017,Gallup,1500,37,56
All polls,01/01/2020,9/17/2017,9/20/2017,CNN/SSRS,1053,40,55
All polls,01/01/2020,9/18/2017,9/20/2017,Rasmussen Reports/Pulse Opinion Research,1500,43,55
All polls,01/01/2020,9/17/2017,9/20/2017,American Research Group,1100,35,59
All polls,01/01/2020,9/18/2017,9/21/2017,ABC News/Washington Post,1002,39,57
All polls,01/01/2020,9/19/2017,9/21/2017,Gallup,1500,38,56
All polls,01/01/2020,9/18/2017,9/22/2017,Ipsos,1660,38.3,56
All polls,01/01/2020,9/19/2017,9/21/2017,Rasmussen Reports/Pulse Opinion Research,1500,43,55
All polls,01/01/2020,9/19/2017,9/20/2017,Lucid,1301,38.21,48.66
All polls,01/01/2020,9/20/2017,9/21/2017,Public Policy Polling,638,42,54
All polls,01/01/2020,9/20/2017,9/22/2017,Gallup,1500,37,56
All polls,01/01/2020,9/19/2017,9/23/2017,Ipsos,1667,38.6,55.2
All polls,01/01/2020,9/21/2017,9/23/2017,Gallup,1500,40,54
All polls,01/01/2020,9/20/2017,9/24/2017,Rasmussen Reports/Pulse Opinion Research,1500,44,54
All polls,01/01/2020,9/20/2017,9/24/2017,Ipsos,1643,37.8,56.3
All polls,01/01/2020,9/21/2017,9/24/2017,CBS News,1202,35,55
All polls,01/01/2020,9/15/2017,9/30/2017,Cards Against Humanity/Survey Sampling International,1000,36,48
All polls,01/01/2020,9/21/2017,9/25/2017,Ipsos,1663,38.4,55.6
All polls,01/01/2020,9/21/2017,9/25/2017,Rasmussen Reports/Pulse Opinion Research,1500,42,56
All polls,01/01/2020,9/22/2017,9/24/2017,Gallup,1500,39,54
All polls,01/01/2020,9/22/2017,9/24/2017,Morning Consult,2200,43,52
All polls,01/01/2020,9/21/2017,9/26/2017,Quinnipiac University,1412,36,57
All polls,01/01/2020,9/22/2017,9/26/2017,Ipsos,3439,37.7,56.7
All polls,01/01/2020,9/23/2017,9/25/2017,Gallup,1500,39,56
All polls,01/01/2020,9/21/2017,9/26/2017,icitizen,1160,34,65
All polls,01/01/2020,9/22/2017,9/25/2017,Public Policy Polling,865,42,53
All polls,01/01/2020,9/23/2017,9/27/2017,Ipsos,3443,37.5,57.1
All polls,01/01/2020,9/24/2017,9/26/2017,Rasmussen Reports/Pulse Opinion Research,1500,43,56
All polls,01/01/2020,9/24/2017,9/26/2017,YouGov,1500,37,53
All polls,01/01/2020,9/24/2017,9/26/2017,Fox News,1017,42,53
All polls,01/01/2020,9/22/2017,9/28/2017,SurveyMonkey,16683,40,57
All polls,01/01/2020,9/24/2017,9/26/2017,Gallup,1500,37,58
All polls,01/01/2020,9/24/2017,9/28/2017,Ipsos,3456,38.1,56.7
All polls,01/01/2020,9/25/2017,9/27/2017,Gallup,1500,36,59
All polls,01/01/2020,9/24/2017,9/27/2017,CNBC/Hart Research/Public Opinion Strategies,800,38,52
All polls,01/01/2020,9/25/2017,9/27/2017,Rasmussen Reports/Pulse Opinion Research,1500,43,56
All polls,01/01/2020,9/25/2017,9/27/2017,Marist College,1105,37,54
All polls,01/01/2020,9/26/2017,9/27/2017,Lucid,1221,34.57,52.77
All polls,01/01/2020,9/26/2017,9/28/2017,CNN/SSRS,1037,37,56
All polls,01/01/2020,9/25/2017,9/29/2017,Ipsos,3568,38.3,56.8
All polls,01/01/2020,9/26/2017,9/28/2017,Rasmussen Reports/Pulse Opinion Research,1500,45,54
All polls,01/01/2020,9/26/2017,9/28/2017,Gallup,1500,37,59
All polls,01/01/2020,9/26/2017,9/30/2017,Ipsos,3551,37.9,57.4
All polls,01/01/2020,9/27/2017,9/29/2017,Gallup,1500,37,58
All polls,01/01/2020,9/27/2017,9/28/2017,Morning Consult,2201,39,55
All polls,01/01/2020,9/27/2017,10/01/2017,Ipsos,1728,38.6,57
All polls,01/01/2020,9/27/2017,10/01/2017,Suffolk University,1000,37.7,55.9
All polls,01/01/2020,9/27/2017,10/01/2017,Rasmussen Reports/Pulse Opinion Research,1500,42,57
All polls,01/01/2020,9/28/2017,9/30/2017,Gallup,1500,38,57
All polls,01/01/2020,9/29/2017,10/01/2017,Gallup,1500,37,57
All polls,01/01/2020,9/29/2017,10/01/2017,Morning Consult,2201,44,51
All polls,01/01/2020,9/28/2017,10/02/2017,Rasmussen Reports/Pulse Opinion Research,1500,42,57
All polls,01/01/2020,9/28/2017,10/02/2017,Ipsos,1706,39,56.8
All polls,01/01/2020,9/28/2017,10/02/2017,AP-NORC,1150,32,67
All polls,01/01/2020,9/29/2017,10/03/2017,Ipsos,1661,37.3,57.8
All polls,01/01/2020,9/30/2017,10/02/2017,Gallup,1500,38,57
All polls,01/01/2020,9/28/2017,10/04/2017,icitizen,2042,39,60
All polls,01/01/2020,9/27/2017,10/05/2017,University of Maryland/Washington Post,1663,37,63
All polls,01/01/2020,10/01/2017,10/03/2017,Gallup,1500,39,57
All polls,01/01/2020,10/01/2017,10/03/2017,Rasmussen Reports/Pulse Opinion Research,1500,44,55
All polls,01/01/2020,9/30/2017,10/04/2017,Ipsos,1555,36.4,58.4
All polls,01/01/2020,10/01/2017,10/03/2017,YouGov,1500,39,54
All polls,01/01/2020,9/29/2017,10/04/2017,SurveyMonkey,15120,41,57
All polls,01/01/2020,10/01/2017,10/05/2017,Ipsos,1516,35.6,58.7
All polls,01/01/2020,9/30/2017,10/06/2017,GQR Research,1000,41,55
All polls,01/01/2020,10/02/2017,10/04/2017,Rasmussen Reports/Pulse Opinion Research,1500,45,54
All polls,01/01/2020,10/02/2017,10/04/2017,Gallup,1500,39,56
All polls,01/01/2020,10/02/2017,10/06/2017,Ipsos,1397,36,58.8
All polls,01/01/2020,10/03/2017,10/04/2017,Lucid,1105,36.2,51.62
All polls,01/01/2020,9/29/2017,10/08/2017,IBD/TIPP,887,33,61
All polls,01/01/2020,10/03/2017,10/05/2017,Rasmussen Reports/Pulse Opinion Research,1500,46,53
All polls,01/01/2020,10/03/2017,10/05/2017,Gallup,1500,39,57
All polls,01/01/2020,10/03/2017,10/07/2017,Ipsos,1507,35.2,59.3
All polls,01/01/2020,10/04/2017,10/06/2017,Gallup,1500,39,56
All polls,01/01/2020,10/05/2017,10/07/2017,Gallup,1500,38,57
All polls,01/01/2020,10/04/2017,10/08/2017,Ipsos,1523,35.4,59.8
All polls,01/01/2020,10/04/2017,10/08/2017,Rasmussen Reports/Pulse Opinion Research,1500,44,55
All polls,01/01/2020,10/05/2017,10/09/2017,Morning Consult,2201,41,52
All polls,01/01/2020,10/05/2017,10/09/2017,Ipsos,1529,36,58.8
All polls,01/01/2020,10/05/2017,10/09/2017,Rasmussen Reports/Pulse Opinion Research,1500,43,56
All polls,01/01/2020,10/06/2017,10/08/2017,Gallup,1500,37,56
All polls,01/01/2020,10/05/2017,10/11/2017,SurveyMonkey,16203,41,57
All polls,01/01/2020,10/01/2017,10/15/2017,Cards Against Humanity/Survey Sampling International,1000,36,52
All polls,01/01/2020,10/07/2017,10/09/2017,Gallup,1500,36,58
All polls,01/01/2020,10/05/2017,10/10/2017,Quinnipiac University,1482,38,56
All polls,01/01/2020,10/05/2017,10/10/2017,Kaiser Family Foundation,1215,38,58
All polls,01/01/2020,10/05/2017,10/11/2017,icitizen,3516,42,58
All polls,01/01/2020,10/06/2017,10/10/2017,Ipsos,1166,36.9,58.6
All polls,01/01/2020,10/07/2017,10/11/2017,Ipsos,1313,36.2,58.9
All polls,01/01/2020,10/07/2017,10/10/2017,YouGov,1500,36,52
All polls,01/01/2020,10/08/2017,10/10/2017,Rasmussen Reports/Pulse Opinion Research,1500,43,56
All polls,01/01/2020,10/08/2017,10/10/2017,Gallup,1500,37,56
All polls,01/01/2020,10/07/2017,10/12/2017,GQR Research,1000,39,54
All polls,01/01/2020,10/08/2017,10/12/2017,Ipsos,1611,35.9,59.3
All polls,01/01/2020,10/09/2017,10/11/2017,Gallup,1500,37,57
All polls,01/01/2020,10/09/2017,10/11/2017,Rasmussen Reports/Pulse Opinion Research,1500,44,55
All polls,01/01/2020,10/10/2017,10/12/2017,Gallup,1500,39,54
All polls,01/01/2020,10/10/2017,10/11/2017,Lucid,1323,33.53,51.57
All polls,01/01/2020,10/10/2017,10/12/2017,Rasmussen Reports/Pulse Opinion Research,1500,43,55
All polls,01/01/2020,10/09/2017,10/13/2017,Ipsos,1611,36.7,57.7
All polls,01/01/2020,10/10/2017,10/14/2017,Ipsos,1581,37.5,57.9
All polls,01/01/2020,10/11/2017,10/13/2017,Gallup,1500,38,56
All polls,01/01/2020,10/10/2017,10/14/2017,McLaughlin & Associates,1000,47,51
All polls,01/01/2020,10/11/2017,10/15/2017,Rasmussen Reports/Pulse Opinion Research,1500,43,56
All polls,01/01/2020,10/12/2017,10/14/2017,Gallup,1500,38,56
All polls,01/01/2020,10/11/2017,10/15/2017,Ipsos,1575,37.4,57.9
All polls,01/01/2020,10/13/2017,10/15/2017,Gallup,1500,36,59
All polls,01/01/2020,10/12/2017,10/16/2017,Rasmussen Reports/Pulse Opinion Research,1500,41,57
All polls,01/01/2020,10/12/2017,10/15/2017,CNN/SSRS,1010,37,57
All polls,01/01/2020,10/12/2017,10/16/2017,Ipsos,1637,37.2,58.5
All polls,01/01/2020,10/12/2017,10/16/2017,Morning Consult,2201,42,51
All polls,01/01/2020,10/12/2017,10/15/2017,Emerson College,820,44.1,50
All polls,01/01/2020,10/12/2017,10/18/2017,icitizen,2009,33,66
All polls,01/01/2020,10/12/2017,10/18/2017,SurveyMonkey,14717,39,59
All polls,01/01/2020,10/13/2017,10/17/2017,Ipsos,1678,37.8,58.1
All polls,01/01/2020,10/14/2017,10/16/2017,Gallup,1500,37,58
All polls,01/01/2020,10/15/2017,10/17/2017,Rasmussen Reports/Pulse Opinion Research,1500,43,55
All polls,01/01/2020,10/14/2017,10/18/2017,Harris Poll,2159,42,58
All polls,01/01/2020,10/15/2017,10/17/2017,Gallup,1500,36,59
All polls,01/01/2020,10/15/2017,10/16/2017,YouGov,1500,37,52
All polls,01/01/2020,10/14/2017,10/18/2017,Ipsos,1693,37.5,58.9
All polls,01/01/2020,10/15/2017,10/17/2017,Marist College,1093,37,55
All polls,01/01/2020,10/16/2017,10/18/2017,Gallup,1500,36,59
All polls,01/01/2020,10/15/2017,10/19/2017,Ipsos,1701,36.7,59
All polls,01/01/2020,10/16/2017,10/18/2017,Rasmussen Reports/Pulse Opinion Research,1500,41,57
All polls,01/01/2020,10/17/2017,10/18/2017,Lucid,1232,33.74,53.38
All polls,01/01/2020,10/17/2017,10/19/2017,Rasmussen Reports/Pulse Opinion Research,1500,43,55
All polls,01/01/2020,10/16/2017,10/20/2017,Ipsos,1969,36.7,58.2
All polls,01/01/2020,10/17/2017,10/19/2017,Morning Consult,2201,40,54
All polls,01/01/2020,10/17/2017,10/19/2017,Gallup,1500,35,60
All polls,01/01/2020,10/18/2017,10/20/2017,Gallup,1500,36,59
All polls,01/01/2020,10/17/2017,10/20/2017,American Research Group,1100,34,61
All polls,01/01/2020,10/17/2017,10/21/2017,Ipsos,2109,36.1,58.9
All polls,01/01/2020,10/18/2017,10/22/2017,Rasmussen Reports/Pulse Opinion Research,1500,41,58
All polls,01/01/2020,10/19/2017,10/21/2017,Gallup,1500,36,58
All polls,01/01/2020,10/18/2017,10/22/2017,Ipsos,2343,35.5,59.4
All polls,01/01/2020,10/19/2017,10/23/2017,Morning Consult,2201,40,53
All polls,01/01/2020,10/20/2017,10/22/2017,Gallup,1500,36,57
All polls,01/01/2020,10/19/2017,10/23/2017,Ipsos,2318,35,59.9
All polls,01/01/2020,10/19/2017,10/23/2017,Rasmussen Reports/Pulse Opinion Research,1500,43,56
All polls,01/01/2020,10/21/2017,10/23/2017,Gallup,1500,36,58
All polls,01/01/2020,10/19/2017,10/25/2017,SurveyMonkey,13572,39,59
All polls,01/01/2020,10/19/2017,10/25/2017,icitizen,2928,36,64
All polls,01/01/2020,10/19/2017,10/25/2017,Zogby Analytics,1514,44,53
All polls,01/01/2020,10/20/2017,10/24/2017,Ipsos,2355,34.6,60.5
